trial,final_step,trapped,contact_dead,boundary_dead
0,6,1,1,0
1,5,1,1,0
2,6,1,1,0
3,8,1,1,0
4,1,1,1,0
5,1,1,1,0
6,8,1,1,0
7,1,1,1,0
8,2,1,1,0
9,1,1,1,0
10,4,1,1,0
11,5,1,1,0
12,2,1,1,0
13,3,1,1,0
14,7,1,1,0
15,1,1,1,0
16,5,1,1,0
17,6,1,1,0
18,3,1,1,0
19,1,1,1,0
20,5,1,1,0
21,10,1,1,0
22,3,1,1,0
23,3,1,1,0
24,6,1,1,0
25,4,1,1,0
26,4,1,1,0
27,5,1,1,0
28,6,1,1,0
29,10,1,1,0
30,1,1,1,0
31,2,1,1,0
32,3,1,1,0
33,5,1,1,0
34,2,1,1,0
35,4,1,1,0
36,3,1,1,0
37,2,1,1,0
38,1,1,1,0
39,1,1,1,0
40,1,1,1,0
41,1,1,1,0
42,4,1,1,0
43,7,1,1,0
44,3,1,1,0
45,1,1,1,0
46,2,1,1,0
47,1,1,1,0
48,4,1,1,0
49,1,1,1,0
50,3,1,1,0
51,4,1,1,0
52,9,1,1,0
53,5,1,1,0
54,2,1,1,0
55,1,1,1,0
56,1,1,1,0
57,9,1,1,0
58,4,1,1,0
59,2,1,1,0
60,1,1,1,0
61,8,1,1,0
62,3,1,1,0
63,1,1,1,0
64,1,1,1,0
65,4,1,1,0
66,2,1,1,0
67,10,1,1,0
68,1,1,1,0
69,3,1,1,0
70,7,1,1,0
71,3,1,1,0
72,4,1,1,0
73,3,1,1,0
74,1,1,1,0
75,1,1,1,0
76,1,1,1,0
77,9,1,1,0
78,1,1,1,0
79,8,1,1,0
80,1,1,1,0
81,4,1,1,0
82,9,1,1,0
83,6,1,1,0
84,5,1,1,0
85,3,1,1,0
86,7,1,1,0
87,5,1,1,0
88,6,1,1,0
89,3,1,1,0
90,1,1,1,0
91,2,1,1,0
92,1,1,1,0
93,4,1,1,0
94,1,1,1,0
95,2,1,1,0
96,7,1,1,0
97,2,1,1,0
98,5,1,1,0
99,8,1,1,0
100,3,1,1,0
101,2,1,1,0
102,3,1,1,0
103,1,1,1,0
104,3,1,1,0
105,3,1,1,0
106,2,1,1,0
107,6,1,1,0
108,2,1,1,0
109,4,1,1,0
110,4,1,1,0
111,3,1,1,0
112,6,1,1,0
113,6,1,1,0
114,3,1,1,0
115,5,1,1,0
116,6,1,1,0
117,2,1,1,0
118,1,1,1,0
119,2,1,1,0
120,2,1,1,0
121,3,1,1,0
122,7,1,1,0
123,1,1,1,0
124,5,1,1,0
125,1,1,1,0
126,1,1,1,0
127,2,1,1,0
128,7,1,1,0
129,5,1,1,0
130,8,1,1,0
131,3,1,1,0
132,1,1,1,0
133,6,1,1,0
134,8,1,1,0
135,2,1,1,0
136,1,1,1,0
137,1,1,1,0
138,1,1,1,0
139,3,1,1,0
140,1,1,1,0
141,1,1,1,0
142,1,1,1,0
143,1,1,1,0
144,3,1,1,0
145,8,1,1,0
146,1,1,1,0
147,2,1,1,0
148,2,1,1,0
149,9,1,1,0
150,4,1,1,0
151,7,1,1,0
152,1,1,1,0
153,6,1,1,0
154,1,1,1,0
155,1,1,1,0
156,2,1,1,0
157,1,1,1,0
158,1,1,1,0
159,1,1,1,0
160,2,1,1,0
161,1,1,1,0
162,2,1,1,0
163,9,1,1,0
164,3,1,1,0
165,3,1,1,0
166,1,1,1,0
167,3,1,1,0
168,3,1,1,0
169,9,1,1,0
170,3,1,1,0
171,1,1,1,0
172,4,1,1,0
173,2,1,1,0
174,6,1,1,0
175,9,1,1,0
176,1,1,1,0
177,5,1,1,0
178,3,1,1,0
179,1,1,1,0
180,2,1,1,0
181,10,1,1,0
182,2,1,1,0
183,1,1,1,0
184,5,1,1,0
185,1,1,1,0
186,5,1,1,0
187,1,1,1,0
188,1,1,1,0
189,5,1,1,0
190,3,1,1,0
191,1,1,1,0
192,3,1,1,0
193,2,1,1,0
194,6,1,1,0
195,3,1,1,0
196,4,1,1,0
197,3,1,1,0
198,9,1,1,0
199,10,1,1,0
200,4,1,1,0
201,1,1,1,0
202,4,1,1,0
203,3,1,1,0
204,9,1,1,0
205,3,1,1,0
206,2,1,1,0
207,4,1,1,0
208,2,1,1,0
209,12,1,1,0
210,4,1,1,0
211,4,1,1,0
212,4,1,1,0
213,3,1,1,0
214,1,1,1,0
215,1,1,1,0
216,6,1,1,0
217,3,1,1,0
218,2,1,1,0
219,3,1,1,0
220,3,1,1,0
221,6,1,1,0
222,1,1,1,0
223,1,1,1,0
224,1,1,1,0
225,1,1,1,0
226,2,1,1,0
227,1,1,1,0
228,1,1,1,0
229,4,1,1,0
230,4,1,1,0
231,2,1,1,0
232,8,1,1,0
233,1,1,1,0
234,5,1,1,0
235,4,1,1,0
236,3,1,1,0
237,1,1,1,0
238,3,1,1,0
239,1,1,1,0
240,9,1,1,0
241,2,1,1,0
242,1,1,1,0
243,9,1,1,0
244,5,1,1,0
245,3,1,1,0
246,3,1,1,0
247,1,1,1,0
248,3,1,1,0
249,3,1,1,0
250,6,1,1,0
251,1,1,1,0
252,6,1,1,0
253,3,1,1,0
254,1,1,1,0
255,1,1,1,0
256,1,1,1,0
257,3,1,1,0
258,2,1,1,0
259,5,1,1,0
260,1,1,1,0
261,1,1,1,0
262,13,1,1,0
263,6,1,1,0
264,1,1,1,0
265,2,1,1,0
266,3,1,1,0
267,3,1,1,0
268,2,1,1,0
269,1,1,1,0
270,2,1,1,0
271,8,1,1,0
272,3,1,1,0
273,6,1,1,0
274,1,1,1,0
275,2,1,1,0
276,1,1,1,0
277,5,1,1,0
278,3,1,1,0
279,1,1,1,0
280,3,1,1,0
281,1,1,1,0
282,2,1,1,0
283,4,1,1,0
284,1,1,1,0
285,3,1,1,0
286,1,1,1,0
287,12,1,1,0
288,3,1,1,0
289,2,1,1,0
290,3,1,1,0
291,2,1,1,0
292,1,1,1,0
293,1,1,1,0
294,3,1,1,0
295,2,1,1,0
296,2,1,1,0
297,7,1,1,0
298,2,1,1,0
299,1,1,1,0
300,3,1,1,0
301,4,1,1,0
302,7,1,1,0
303,1,1,1,0
304,7,1,1,0
305,3,1,1,0
306,6,1,1,0
307,2,1,1,0
308,3,1,1,0
309,1,1,1,0
310,12,1,1,0
311,1,1,1,0
312,2,1,1,0
313,1,1,1,0
314,4,1,1,0
315,1,1,1,0
316,2,1,1,0
317,2,1,1,0
318,2,1,1,0
319,6,1,1,0
320,5,1,1,0
321,1,1,1,0
322,5,1,1,0
323,2,1,1,0
324,4,1,1,0
325,1,1,1,0
326,2,1,1,0
327,2,1,1,0
328,1,1,1,0
329,2,1,1,0
330,2,1,1,0
331,1,1,1,0
332,4,1,1,0
333,5,1,1,0
334,2,1,1,0
335,1,1,1,0
336,1,1,1,0
