step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,100000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,1.9963400000,1.2045104861,1.4168227145,0.7385759872,100000,0.0000000000,0.4440377778,0.1574247461,1.9963400000,0.4440377778,0.0000000000,4.0000000000,0.0044803868,0.7097101268
3,2.9976400000,1.5876356852,2.4517084717,0.6906901845,100000,0.0000000000,0.6247512500,0.2653319277,2.9976400000,0.6247512500,1.0000000000,9.0000000000,0.0077529829,0.8178795558
4,4.0040600000,1.7543101521,3.4708303785,0.9625257868,100000,0.0000000000,0.8000240000,0.3717967609,4.0040600000,0.8000240000,0.0000000000,16.0000000000,0.0109757294,0.8668277644
5,5.0083200000,2.0204961601,4.4949316766,0.9622449102,100000,0.0000000000,0.9723855556,0.4784769798,5.0083200000,0.9723855556,1.0000000000,25.0000000000,0.0142142220,0.8974929071
6,6.0192200000,2.1648157433,5.4997591394,1.1544664557,100000,0.0000000000,1.1430926531,0.5844080388,6.0192200000,1.1430926531,0.0000000000,36.0000000000,0.0173917655,0.9136996387
7,7.0238800000,2.3786268255,6.5034444524,1.1687661978,100000,0.0000000000,1.3130703125,0.6889846731,7.0238800000,1.3130703125,1.0000000000,49.0000000000,0.0205656971,0.9259048350
8,8.0318600000,2.5051192831,7.5234981850,1.3252310656,100000,0.0000000000,1.4821476543,0.7937064947,8.0318600000,1.4821476543,0.0000000000,64.0000000000,0.0237913902,0.9367068381
9,9.0506400000,2.6912297574,8.5143264907,1.3445900464,100000,0.0000000000,1.6509136000,0.8983967216,9.0506400000,1.6509136000,1.0000000000,81.0000000000,0.0269246645,0.9407430293
10,10.0477200000,2.8074163683,9.4884162431,1.4717789696,100000,0.0000000000,1.8186680992,1.0019128204,10.0477200000,1.8186680992,0.0000000000,100.0000000000,0.0300050067,0.9443352565
11,11.0410400000,2.9695854968,10.4649011328,1.4908393532,100000,0.0000000000,1.9857476389,1.1053481001,11.0410400000,1.9857476389,1.0000000000,101.0000000000,0.0330929231,0.9478184241
12,12.0569800000,3.0793859499,11.4517419321,1.6044819012,100000,0.0000000000,2.1533724260,1.2094090867,12.0569800000,2.1533724260,0.0000000000,104.0000000000,0.0362135877,0.9498018519
13,13.0777600000,3.2276447819,12.5059231320,1.6309718458,100000,0.0000000000,2.3220720408,1.3158771525,13.0777600000,2.3220720408,1.0000000000,125.0000000000,0.0395472013,0.9562740968
14,14.0790200000,3.3276861142,13.5306184574,1.7336450402,100000,0.0000000000,2.4906684444,1.4224788563,14.0790200000,2.4906684444,0.0000000000,148.0000000000,0.0427875725,0.9610483157
15,15.0752800000,3.4603088024,14.5508904512,1.7611198119,100000,0.0000000000,2.6592310937,1.5297433627,15.0752800000,2.6592310937,1.0000000000,145.0000000000,0.0460139558,0.9652152697
16,16.0604600000,3.5531170108,15.5567858052,1.8535963713,100000,0.0000000000,2.8268035986,1.6365286859,16.0604600000,2.8268035986,0.0000000000,170.0000000000,0.0491948762,0.9686388687
17,17.0522000000,3.6753224749,16.5945242523,1.8826058285,100000,0.0000000000,2.9936802469,1.7440290423,17.0522000000,2.9936802469,1.0000000000,157.0000000000,0.0524764933,0.9731603108
18,18.0607000000,3.7661014815,17.6099459258,1.9690555175,100000,0.0000000000,3.1603817175,1.8515839253,18.0607000000,3.1603817175,0.0000000000,178.0000000000,0.0556875386,0.9750422700
19,19.0694400000,3.8847388097,18.6035001569,1.9945536795,100000,0.0000000000,3.3276031000,1.9589074201,19.0694400000,3.3276031000,1.0000000000,185.0000000000,0.0588294329,0.9755661497
20,20.0886400000,3.9742213911,19.5894926670,2.0722462051,100000,0.0000000000,3.4954454422,2.0655675417,20.0886400000,3.4954454422,0.0000000000,212.0000000000,0.0619474150,0.9751527563
21,21.0767200000,4.0845213073,20.5486474991,2.0960452501,100000,0.0000000000,3.6626853719,2.1706811152,21.0767200000,3.6626853719,1.0000000000,221.0000000000,0.0649805289,0.9749452239
22,22.1314200000,4.1730462280,21.5621475921,2.1718897713,100000,0.0000000000,3.8309607183,2.2755218545,22.1314200000,3.8309607183,0.0000000000,232.0000000000,0.0681854976,0.9742776375
23,23.0943200000,4.2740576468,22.5507725752,2.1969868529,100000,0.0000000000,3.9982759722,2.3801047260,23.0943200000,3.9982759722,1.0000000000,245.0000000000,0.0713118043,0.9764640212
24,24.1133600000,4.3540063389,23.5940168159,2.2706802507,100000,0.0000000000,4.1660216640,2.4851736767,24.1133600000,4.1660216640,0.0000000000,274.0000000000,0.0746108323,0.9784624298
25,25.1028800000,4.4540315463,24.5890572350,2.2944461171,100000,0.0000000000,4.3332923077,2.5898668438,25.1028800000,4.3332923077,1.0000000000,289.0000000000,0.0777574264,0.9795313221
26,26.1174800000,4.5324765859,25.5632947495,2.3609608209,100000,0.0000000000,4.5005350069,2.6942352805,26.1174800000,4.5005350069,0.0000000000,306.0000000000,0.0808382359,0.9787810596
