final_step,count,probability,geometric_fit
1,2480,0.248,0.2819045471203451
2,1898,0.1898,0.2024343734332182
3,1757,0.1757,0.14536720306893602
4,1100,0.11,0.10438752752163637
5,934,0.0934,0.07496020885063692
6,569,0.0569,0.053828585122551634
7,399,0.0399,0.03865406221144977
8,287,0.0287,0.02775730630936938
9,188,0.0188,0.01993239544494591
10,122,0.0122,0.014313362534014802
11,90,0.009,0.010278360551094046
12,62,0.0062,0.0073808439747982575
13,35,0.0035,0.005300150496716827
14,28,0.0028,0.0038060139712701984
15,14,0.0014,0.002733081326365567
16,18,0.0018,0.0019626132728134097
17,6,0.0006,0.0014093436669685671
18,3,0.0003,0.001012043278794867
19,5,0.0005,0.0007267436766200107
20,2,0.0002,0.0005218713295898721
21,0,0.0,0.0003747534287667469
22,1,0.0001,0.0002691087331484606
23,1,0.0001,0.00019324575760411403
24,0,0.0,0.00013876889982379826
25,0,0.0,9.964931596458189e-05
26,1,0.0001,7.155772067673427e-05
