trial,final_step,trapped,contact_dead,boundary_dead
0,198,1,0,0
1,69,1,0,0
2,24,1,0,0
3,15,1,0,0
4,67,1,0,0
5,118,1,0,0
6,130,1,0,0
7,67,1,0,0
8,58,1,0,0
9,73,1,0,0
10,72,1,0,0
11,73,1,0,0
12,92,1,0,0
13,25,1,0,0
14,79,1,0,0
15,50,1,0,0
16,117,1,0,0
17,93,1,0,0
18,113,1,0,0
19,159,1,0,0
20,72,1,0,0
21,153,1,0,0
22,167,1,0,0
23,50,1,0,0
24,47,1,0,0
25,26,1,0,0
26,109,1,0,0
27,28,1,0,0
28,115,1,0,0
29,75,1,0,0
30,30,1,0,0
31,85,1,0,0
32,30,1,0,0
33,40,1,0,0
34,21,1,0,0
35,19,1,0,0
36,53,1,0,0
37,116,1,0,0
38,20,1,0,0
39,42,1,0,0
40,13,1,0,0
41,63,1,0,0
42,49,1,0,0
43,19,1,0,0
44,114,1,0,0
45,89,1,0,0
46,190,1,0,0
47,8,1,0,0
48,88,1,0,0
49,43,1,0,0
50,174,1,0,0
51,88,1,0,0
52,47,1,0,0
53,58,1,0,0
54,11,1,0,0
55,52,1,0,0
56,47,1,0,0
57,63,1,0,0
58,30,1,0,0
59,116,1,0,0
60,52,1,0,0
61,168,1,0,0
62,51,1,0,0
63,125,1,0,0
64,50,1,0,0
65,72,1,0,0
66,27,1,0,0
67,42,1,0,0
68,16,1,0,0
69,74,1,0,0
70,78,1,0,0
71,110,1,0,0
72,33,1,0,0
73,53,1,0,0
74,78,1,0,0
75,34,1,0,0
76,30,1,0,0
77,112,1,0,0
78,26,1,0,0
79,26,1,0,0
80,115,1,0,0
81,50,1,0,0
82,70,1,0,0
83,70,1,0,0
84,65,1,0,0
85,57,1,0,0
86,52,1,0,0
87,7,1,0,0
88,92,1,0,0
89,29,1,0,0
90,124,1,0,0
91,30,1,0,0
92,77,1,0,0
93,46,1,0,0
94,59,1,0,0
95,43,1,0,0
96,37,1,0,0
97,123,1,0,0
98,12,1,0,0
99,9,1,0,0
100,84,1,0,0
101,73,1,0,0
102,108,1,0,0
103,96,1,0,0
104,134,1,0,0
105,89,1,0,0
106,44,1,0,0
107,39,1,0,0
108,23,1,0,0
109,56,1,0,0
110,101,1,0,0
111,61,1,0,0
112,31,1,0,0
113,73,1,0,0
114,129,1,0,0
115,46,1,0,0
116,33,1,0,0
117,70,1,0,0
118,121,1,0,0
119,64,1,0,0
120,82,1,0,0
121,79,1,0,0
122,37,1,0,0
123,138,1,0,0
124,51,1,0,0
125,15,1,0,0
126,86,1,0,0
127,65,1,0,0
128,91,1,0,0
129,45,1,0,0
130,19,1,0,0
131,16,1,0,0
132,93,1,0,0
133,117,1,0,0
134,24,1,0,0
135,67,1,0,0
136,162,1,0,0
137,76,1,0,0
138,139,1,0,0
139,97,1,0,0
140,58,1,0,0
141,36,1,0,0
142,107,1,0,0
143,13,1,0,0
144,23,1,0,0
145,222,1,0,0
146,50,1,0,0
147,60,1,0,0
148,66,1,0,0
149,58,1,0,0
150,40,1,0,0
151,126,1,0,0
152,40,1,0,0
153,127,1,0,0
154,89,1,0,0
155,72,1,0,0
156,29,1,0,0
157,27,1,0,0
158,82,1,0,0
159,165,1,0,0
160,109,1,0,0
161,91,1,0,0
162,100,1,0,0
163,109,1,0,0
164,64,1,0,0
165,131,1,0,0
166,48,1,0,0
167,126,1,0,0
168,32,1,0,0
169,63,1,0,0
170,127,1,0,0
171,28,1,0,0
172,38,1,0,0
173,55,1,0,0
174,163,1,0,0
175,130,1,0,0
176,112,1,0,0
177,146,1,0,0
178,25,1,0,0
179,54,1,0,0
180,41,1,0,0
181,29,1,0,0
182,233,1,0,0
183,53,1,0,0
184,84,1,0,0
185,38,1,0,0
186,86,1,0,0
187,86,1,0,0
188,48,1,0,0
189,89,1,0,0
190,46,1,0,0
191,13,1,0,0
192,23,1,0,0
193,43,1,0,0
194,73,1,0,0
195,72,1,0,0
196,8,1,0,0
197,108,1,0,0
198,22,1,0,0
199,43,1,0,0
200,70,1,0,0
201,81,1,0,0
202,37,1,0,0
203,92,1,0,0
204,19,1,0,0
205,27,1,0,0
206,59,1,0,0
207,36,1,0,0
208,67,1,0,0
209,65,1,0,0
210,81,1,0,0
211,91,1,0,0
212,88,1,0,0
213,32,1,0,0
214,49,1,0,0
215,92,1,0,0
216,25,1,0,0
217,67,1,0,0
218,120,1,0,0
219,25,1,0,0
220,25,1,0,0
221,74,1,0,0
222,34,1,0,0
223,80,1,0,0
224,27,1,0,0
225,22,1,0,0
226,97,1,0,0
227,45,1,0,0
228,48,1,0,0
229,74,1,0,0
230,166,1,0,0
231,31,1,0,0
232,169,1,0,0
233,54,1,0,0
234,24,1,0,0
235,36,1,0,0
236,36,1,0,0
237,66,1,0,0
238,22,1,0,0
239,131,1,0,0
240,26,1,0,0
241,31,1,0,0
242,44,1,0,0
243,32,1,0,0
244,68,1,0,0
245,44,1,0,0
246,107,1,0,0
247,15,1,0,0
248,68,1,0,0
249,62,1,0,0
250,18,1,0,0
251,40,1,0,0
252,54,1,0,0
253,29,1,0,0
254,44,1,0,0
255,31,1,0,0
256,73,1,0,0
257,52,1,0,0
258,202,1,0,0
259,131,1,0,0
260,71,1,0,0
261,112,1,0,0
262,51,1,0,0
263,21,1,0,0
264,63,1,0,0
265,25,1,0,0
266,189,1,0,0
267,23,1,0,0
268,99,1,0,0
269,99,1,0,0
270,42,1,0,0
271,22,1,0,0
272,43,1,0,0
273,13,1,0,0
274,51,1,0,0
275,93,1,0,0
276,219,1,0,0
277,150,1,0,0
278,17,1,0,0
279,334,1,0,0
280,133,1,0,0
281,134,1,0,0
282,49,1,0,0
283,86,1,0,0
284,93,1,0,0
285,20,1,0,0
286,93,1,0,0
287,40,1,0,0
288,28,1,0,0
289,7,1,0,0
290,30,1,0,0
291,58,1,0,0
292,107,1,0,0
293,73,1,0,0
294,87,1,0,0
295,17,1,0,0
296,46,1,0,0
297,28,1,0,0
298,17,1,0,0
299,100,1,0,0
300,32,1,0,0
301,63,1,0,0
302,40,1,0,0
303,67,1,0,0
304,15,1,0,0
305,49,1,0,0
306,15,1,0,0
307,159,1,0,0
308,26,1,0,0
309,89,1,0,0
310,163,1,0,0
311,26,1,0,0
312,27,1,0,0
313,59,1,0,0
314,187,1,0,0
315,44,1,0,0
316,180,1,0,0
317,183,1,0,0
318,38,1,0,0
319,70,1,0,0
320,134,1,0,0
321,229,1,0,0
322,63,1,0,0
323,73,1,0,0
324,63,1,0,0
325,260,1,0,0
326,29,1,0,0
327,247,1,0,0
328,183,1,0,0
329,29,1,0,0
330,135,1,0,0
331,294,1,0,0
332,154,1,0,0
333,34,1,0,0
334,257,1,0,0
335,35,1,0,0
336,81,1,0,0
337,7,1,0,0
338,67,1,0,0
339,18,1,0,0
340,30,1,0,0
341,44,1,0,0
342,69,1,0,0
343,43,1,0,0
344,94,1,0,0
345,89,1,0,0
346,91,1,0,0
347,67,1,0,0
348,97,1,0,0
349,124,1,0,0
350,30,1,0,0
351,108,1,0,0
352,21,1,0,0
353,51,1,0,0
354,12,1,0,0
355,18,1,0,0
356,243,1,0,0
357,79,1,0,0
358,152,1,0,0
359,18,1,0,0
360,129,1,0,0
361,167,1,0,0
362,24,1,0,0
363,53,1,0,0
364,58,1,0,0
365,44,1,0,0
366,137,1,0,0
367,32,1,0,0
368,70,1,0,0
369,23,1,0,0
370,54,1,0,0
371,228,1,0,0
372,39,1,0,0
373,99,1,0,0
374,17,1,0,0
375,51,1,0,0
376,72,1,0,0
377,48,1,0,0
378,45,1,0,0
379,61,1,0,0
380,68,1,0,0
381,25,1,0,0
382,114,1,0,0
383,25,1,0,0
384,90,1,0,0
385,44,1,0,0
386,33,1,0,0
387,242,1,0,0
388,104,1,0,0
389,86,1,0,0
390,45,1,0,0
391,18,1,0,0
392,33,1,0,0
393,64,1,0,0
394,53,1,0,0
395,184,1,0,0
396,226,1,0,0
397,86,1,0,0
398,13,1,0,0
399,75,1,0,0
400,30,1,0,0
401,12,1,0,0
402,29,1,0,0
403,80,1,0,0
404,54,1,0,0
405,74,1,0,0
406,37,1,0,0
407,74,1,0,0
408,66,1,0,0
409,28,1,0,0
410,72,1,0,0
411,77,1,0,0
412,38,1,0,0
413,43,1,0,0
414,7,1,0,0
415,18,1,0,0
416,62,1,0,0
417,41,1,0,0
418,131,1,0,0
419,108,1,0,0
420,104,1,0,0
421,34,1,0,0
422,51,1,0,0
423,45,1,0,0
424,190,1,0,0
425,14,1,0,0
426,36,1,0,0
427,26,1,0,0
428,12,1,0,0
429,57,1,0,0
430,106,1,0,0
431,30,1,0,0
432,74,1,0,0
433,35,1,0,0
434,56,1,0,0
435,52,1,0,0
436,19,1,0,0
437,52,1,0,0
438,46,1,0,0
439,52,1,0,0
440,68,1,0,0
441,59,1,0,0
442,223,1,0,0
443,9,1,0,0
444,210,1,0,0
445,41,1,0,0
446,30,1,0,0
447,132,1,0,0
448,30,1,0,0
449,45,1,0,0
450,59,1,0,0
451,27,1,0,0
452,54,1,0,0
453,22,1,0,0
454,111,1,0,0
455,11,1,0,0
456,111,1,0,0
457,64,1,0,0
458,28,1,0,0
459,30,1,0,0
460,84,1,0,0
461,89,1,0,0
462,127,1,0,0
463,56,1,0,0
464,86,1,0,0
465,119,1,0,0
466,87,1,0,0
467,34,1,0,0
468,161,1,0,0
469,27,1,0,0
470,153,1,0,0
471,27,1,0,0
472,63,1,0,0
473,67,1,0,0
474,86,1,0,0
475,12,1,0,0
476,37,1,0,0
477,117,1,0,0
