step,mean_r2,mean_r,std_r2,std_r,n_alive,trapped_rate,mean_rg2,std_rg2,mean_r2_all,mean_rg2_all,min_r2,max_r2,se_r2,cv_r2
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,1.0000000000,1.0000000000,0.0000000000,0.0000000000,10000,0.0000000000,0.2500000000,0.0000000000,1.0000000000,0.2500000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000
2,2.6504000000,1.6047113119,0.9368990554,0.2744113800,10000,0.0000000000,0.5167111111,0.1040998950,2.6504000000,0.5167111111,2.0000000000,4.0000000000,0.0093689906,0.3534934559
3,4.5332000000,2.0392701127,2.2827390915,0.6120272929,10000,0.0000000000,0.8034250000,0.2146337447,4.5332000000,0.8034250000,1.0000000000,9.0000000000,0.0228273909,0.5035601984
4,6.6944000000,2.4852773668,3.5627248897,0.7195807182,10000,0.0000000000,1.1252800000,0.3107260556,6.6944000000,1.1252800000,2.0000000000,16.0000000000,0.0356272489,0.5321948031
5,8.9380000000,2.8423907517,5.1344479742,0.9267226201,10000,0.0000000000,1.4633888889,0.4284249037,8.9380000000,1.4633888889,1.0000000000,25.0000000000,0.0513444797,0.5744515523
6,11.3464000000,3.1977870898,6.7900520646,1.0585639935,10000,0.0000000000,1.8251673469,0.5541875487,11.3464000000,1.8251673469,2.0000000000,36.0000000000,0.0679005206,0.5984322838
7,13.7356000000,3.4920003799,8.6350734010,1.2415850140,10000,0.0000000000,2.1963312500,0.6962745011,13.7356000000,2.1963312500,1.0000000000,49.0000000000,0.0863507340,0.6286637206
8,16.3454909820,3.8074938801,10.5428638741,1.3595886640,9980,0.0020000000,2.5870456963,0.8479986739,16.3148000000,2.5843091049,2.0000000000,64.0000000000,0.1055342258,0.6450013576
9,18.9562336880,4.0788980858,12.6012339856,1.5227685620,9962,0.0038000000,2.9865790002,1.0122679435,18.8912000000,2.9802057716,1.0000000000,81.0000000000,0.1262524478,0.6647540958
10,21.6933629211,4.3633891714,14.6526861960,1.6291709118,9914,0.0086000000,3.4018442907,1.1801954414,21.5266000000,3.3857922014,2.0000000000,100.0000000000,0.1471610207,0.6754455844
11,24.4484713505,4.6172884119,16.7546377279,1.7689316187,9878,0.0122000000,3.8248914535,1.3531483318,24.1856000000,3.7982910535,1.0000000000,121.0000000000,0.1685778579,0.6853041030
12,27.3950403102,4.8868567566,18.9464249117,1.8744789545,9799,0.0201000000,4.2673742219,1.5304185948,26.9341000000,4.2210910535,2.0000000000,122.0000000000,0.1913975588,0.6916005488
13,30.2066098738,5.1170007646,21.2283158361,2.0057200825,9743,0.0257000000,4.7114972131,1.7167545566,29.5730000000,4.6453098888,1.0000000000,145.0000000000,0.2150647280,0.7027705501
14,33.2379178309,5.3690126978,23.5341926751,2.1003857937,9663,0.0337000000,5.1719571792,1.9063929546,32.3217000000,5.0757379273,2.0000000000,148.0000000000,0.2394105669,0.7080525560
15,36.2701886006,5.6000993870,25.8559108034,2.2156433504,9597,0.0403000000,5.6383497121,2.1003711008,35.0766000000,5.5101350350,1.0000000000,173.0000000000,0.2639320272,0.7128694887
16,39.3876864888,5.8362917653,28.1817552644,2.3076795531,9518,0.0482000000,6.1148179628,2.2988424174,37.8560000000,5.9481843970,2.0000000000,178.0000000000,0.2888651760,0.7154965873
17,42.3059496083,6.0384085887,30.5495189963,2.4173479940,9446,0.0554000000,6.5924115767,2.4992518691,40.4310000000,6.3838635696,1.0000000000,205.0000000000,0.3143260725,0.7221092844
18,45.4611764706,6.2593266529,33.0262728134,2.5063930904,9350,0.0650000000,7.0857268135,2.7024118037,43.0882000000,6.8202422143,2.0000000000,200.0000000000,0.3415495824,0.7264720224
19,48.7377403327,6.4692808758,35.8146787117,2.6241465819,9258,0.0742000000,7.5819647872,2.9195604768,45.8744000000,7.2597354636,1.0000000000,225.0000000000,0.3722223711,0.7348448752
20,51.9641804084,6.6772523827,38.4479557879,2.7163359559,9157,0.0843000000,8.0854556085,3.1382992125,48.5599000000,7.6986351643,2.0000000000,256.0000000000,0.4017877088,0.7398934321
21,55.3301657459,6.8835527482,41.0428228930,2.8190188557,9050,0.0950000000,8.6008999589,3.3603576973,51.2841000000,8.1376328470,1.0000000000,289.0000000000,0.4314325759,0.7417802267
22,58.9836359561,7.1153338715,43.4947551389,2.8906158258,8922,0.1078000000,9.1368075940,3.5789944708,54.0871000000,8.5791880369,2.0000000000,324.0000000000,0.4604747076,0.7374037635
23,62.4837467437,7.3208598888,46.1428036914,2.9814018905,8829,0.1171000000,9.6662486157,3.7998121696,56.8686000000,9.0211862365,1.0000000000,325.0000000000,0.4910754472,0.7384769015
24,66.0197270329,7.5326650740,48.6665553082,3.0460932218,8719,0.1281000000,10.2058096571,4.0196518965,59.5613000000,9.4631538987,2.0000000000,314.0000000000,0.5211914330,0.7371517196
