trial,final_step,trapped,boundary_dead,contact_dead
0,96,1,0,0
1,32,1,0,0
2,27,1,0,0
3,58,1,0,0
4,13,1,0,0
5,43,1,0,0
6,42,1,0,0
7,131,1,0,0
8,32,1,0,0
9,128,1,0,0
10,138,1,0,0
11,32,1,0,0
12,28,1,0,0
13,75,1,0,0
14,71,1,0,0
15,40,1,0,0
16,74,1,0,0
17,163,1,0,0
18,116,1,0,0
19,77,1,0,0
20,22,1,0,0
21,103,1,0,0
22,57,1,0,0
23,62,1,0,0
24,121,1,0,0
25,44,1,0,0
26,337,1,0,0
27,144,1,0,0
28,92,1,0,0
29,142,1,0,0
30,48,1,0,0
31,170,1,0,0
32,51,1,0,0
33,110,1,0,0
34,56,1,0,0
35,53,1,0,0
36,37,1,0,0
37,181,1,0,0
38,54,1,0,0
39,79,1,0,0
40,85,1,0,0
41,154,1,0,0
42,110,1,0,0
43,37,1,0,0
44,87,1,0,0
45,46,1,0,0
46,75,1,0,0
47,115,1,0,0
48,176,1,0,0
49,64,1,0,0
50,34,1,0,0
51,16,1,0,0
52,60,1,0,0
53,43,1,0,0
54,44,1,0,0
55,22,1,0,0
56,28,1,0,0
57,117,1,0,0
58,39,1,0,0
59,149,1,0,0
60,398,1,0,0
61,65,1,0,0
62,57,1,0,0
63,63,1,0,0
64,36,1,0,0
65,17,1,0,0
66,35,1,0,0
67,72,1,0,0
68,17,1,0,0
69,21,1,0,0
70,77,1,0,0
71,130,1,0,0
72,24,1,0,0
73,74,1,0,0
74,47,1,0,0
75,54,1,0,0
76,85,1,0,0
77,13,1,0,0
78,11,1,0,0
79,84,1,0,0
80,23,1,0,0
81,75,1,0,0
82,26,1,0,0
83,76,1,0,0
84,36,1,0,0
85,17,1,0,0
86,132,1,0,0
87,70,1,0,0
88,40,1,0,0
89,36,1,0,0
90,111,1,0,0
91,19,1,0,0
92,50,1,0,0
93,82,1,0,0
94,76,1,0,0
95,65,1,0,0
96,95,1,0,0
97,32,1,0,0
98,118,1,0,0
99,51,1,0,0
100,88,1,0,0
101,11,1,0,0
102,13,1,0,0
103,150,1,0,0
104,28,1,0,0
105,35,1,0,0
106,64,1,0,0
107,132,1,0,0
108,134,1,0,0
109,17,1,0,0
110,46,1,0,0
111,13,1,0,0
112,61,1,0,0
113,37,1,0,0
114,42,1,0,0
115,30,1,0,0
116,23,1,0,0
117,97,1,0,0
118,111,1,0,0
119,111,1,0,0
120,27,1,0,0
121,59,1,0,0
122,74,1,0,0
123,146,1,0,0
124,235,1,0,0
125,53,1,0,0
126,22,1,0,0
127,52,1,0,0
128,67,1,0,0
129,129,1,0,0
130,26,1,0,0
131,24,1,0,0
132,76,1,0,0
133,36,1,0,0
134,121,1,0,0
135,111,1,0,0
136,9,1,0,0
137,43,1,0,0
138,215,1,0,0
139,34,1,0,0
140,41,1,0,0
