step,survival_probability,expected_alive_1e3,expected_alive_1e4,expected_alive_1e5,expected_alive_1e6,expected_alive_1e7
0,1.0,1000.0,10000.0,100000.0,1000000.0,10000000.0
1,1.0,1000.0,10000.0,100000.0,1000000.0,10000000.0
2,1.0,1000.0,10000.0,100000.0,1000000.0,10000000.0
3,1.0,1000.0,10000.0,100000.0,1000000.0,10000000.0
4,1.0,1000.0,10000.0,100000.0,1000000.0,10000000.0
5,1.0,1000.0,10000.0,100000.0,1000000.0,10000000.0
6,1.0,1000.0,10000.0,100000.0,1000000.0,10000000.0
7,1.0,1000.0,10000.0,100000.0,1000000.0,10000000.0
8,0.9976,997.6,9976.0,99760.0,997600.0,9976000.0
9,0.9944,994.4,9944.0,99440.0,994400.0,9944000.0
10,0.9897,989.7,9897.0,98970.0,989700.0,9897000.0
11,0.9851,985.1,9851.0,98510.0,985100.0,9851000.0
12,0.9794,979.4000000000001,9794.0,97940.0,979400.0,9794000.0
13,0.974,974.0,9740.0,97400.0,974000.0,9740000.0
14,0.966,966.0,9660.0,96600.0,966000.0,9660000.0
15,0.9581,958.0999999999999,9581.0,95810.0,958100.0,9581000.0
16,0.9497,949.7,9497.0,94970.0,949700.0,9497000.0
17,0.9416,941.6,9416.0,94160.0,941600.0,9416000.0
18,0.9318,931.8,9318.0,93180.0,931800.0,9318000.0
19,0.9229,922.9000000000001,9229.0,92290.0,922900.0,9229000.0
20,0.9127,912.6999999999999,9127.0,91270.0,912700.0,9127000.0
21,0.9038,903.8000000000001,9038.0,90380.0,903800.0,9038000.0
22,0.8925,892.5,8925.0,89250.0,892500.0,8925000.0
23,0.882,882.0,8820.0,88200.0,882000.0,8820000.0
24,0.8707,870.7,8707.0,87070.0,870700.0,8707000.0
25,0.8611,861.1,8611.0,86110.0,861100.0,8611000.0
26,0.8487,848.7,8487.0,84870.0,848700.0,8487000.0
27,0.8373,837.3000000000001,8373.0,83730.0,837300.0,8373000.0
28,0.8266,826.6,8266.0,82660.0,826600.0,8266000.0
