walk_type,dimension,L,n_trials,fit_start,fit_end,alpha,intercept,r2_score,n_points,n_alive_min,mean_r2_start,mean_r2_end,fit_n_alive_min,fit_n_alive_median,fit_max_relative_standard_error,fit_all_points_eligible,fit_reliability_point_count,fit_reliability_complete
saw,2d,-1,1000000000,1,100,1.3009048106736927,0.06813362671832146,0.9998409295105444,100,222686137.0,1.0,436.391086698,222686137.0,746632066.5,5.09934e-05,0,4,0
saw,2d,-1,1000000000,1,150,1.3119132732567704,0.03561215380838019,0.9997673110944497,150,78009650.0,1.0,763.04833984,78009650.0,581408996.0,8.54075e-05,0,5,0
saw,2d,-1,1000000000,1,200,1.3217121793821567,0.0036151464570220696,0.9996776504974367,200,26268259.0,1.0,1141.31705531,26268259.0,402047566.5,0.0001459274,0,6,0
saw,2d,-1,1000000000,1,250,1.3302658098472677,-0.02633558791098367,0.999593516865557,250,8645890.0,1.0,1565.1214854688,8645890.0,222686137.0,0.0002524104,0,7,0
saw,2d,-1,1000000000,1,300,1.3377915826820186,-0.05411846083008901,0.9995187009132481,300,2801460.0,1.0,2031.4625266825,2801460.0,150347893.5,0.0004403536,0,8,0
saw,2d,-1,1000000000,1,400,1.3503920867124526,-0.10344653579678917,0.9994007748197219,400,286576.0,1.0,3072.6425381051,286576.0,52138954.5,0.0013621565,0,10,0
saw,2d,-1,1000000000,1,500,1.3605119955298661,-0.14553044870348608,0.9993191135087608,500,28644.0,1.0,4246.959642508,28644.0,26268259.0,0.0042617071,0,11,0
saw,2d,-1,1000000000,1,600,1.3685543103928555,-0.18054149899690156,0.9992754366380008,600,2771.0,1.0,5493.6672681342,2771.0,17457074.5,0.013220421,0,12,0
saw,2d,-1,1000000000,1,800,1.3792722632654133,-0.22926413433318657,0.9991336924218668,800,28.0,1.0,7738.2857142857,28.0,5723675.0,0.13938061,0,14,0
saw,2d,-1,1000000000,10,100,1.3075685486571973,0.040756947671385754,0.9998225148157822,91,222686137.0,21.845519383,436.391086698,222686137.0,746632066.5,5.09934e-05,0,4,0
