step,n_alive,survival_probability,mean_r2,std_r2,variance_r2,standard_error_r2,relative_standard_error_r2,min_r2,max_r2,coefficient_of_variation,sample_mode,reservoir_size,reservoir_stored_count,quantile_source,median_r2,q10_r2,q25_r2,q75_r2,q90_r2,q95_r2,q99_r2,fit_eligible
10,990254033,0.990254033,21.845519383,14.6642977341,215.0416280334,0.0004660022,2.13317e-05,2.0,82.0,0.6712725606,reservoir,20000,20000,reservoir,20.0,4.0,10.0,34.0,40.0,50.0,58.0,0
20,911855137,0.911855137,52.432623124,38.3542708869,1471.0500952619,0.0012701377,2.42242e-05,2.0,290.0,0.7314963205,reservoir,20000,20000,reservoir,50.0,10.0,20.0,74.0,104.0,130.0,164.0,0
50,581408996,0.581408996,171.8375888184,131.0261874777,17167.8618049434,0.0054339699,3.16227e-05,2.0,882.0,0.7625001513,reservoir,20000,20000,reservoir,144.0,32.0,72.0,244.0,346.0,436.0,584.0,0
100,222686137,0.222686137,436.3910866981,332.0748815054,110273.7269268548,0.0222530445,5.09934e-05,2.0,2602.0,0.7609570672,reservoir,20000,20000,reservoir,360.0,80.0,180.0,610.0,890.0,1076.0,1460.0,0
150,78009650,0.07800965,763.04833984,575.6017749452,331317.4033200117,0.0651700358,8.54075e-05,2.0,4450.0,0.7543450983,reservoir,20000,20000,reservoir,640.0,144.0,328.0,1066.0,1546.0,1856.0,2512.0,0
200,26268259,0.026268259,1141.3170553097,853.6085329817,728647.5275792314,0.1665494117,0.0001459274,2.0,6788.0,0.7479153396,reservoir,20000,20000,reservoir,964.0,208.0,484.0,1600.0,2320.0,2818.0,3856.0399999999936,0
250,8645890,0.00864589,1565.1214854689,1161.609355933,1349336.2957910069,0.3950528947,0.0002524104,2.0,8200.0,0.7421847868,reservoir,20000,20000,reservoir,1306.0,298.0,666.0,2192.0,3140.0,3770.0,5018.0,0
300,2801460,0.00280146,2031.4625266825,1497.278486816,2241842.867082017,0.8945618471,0.0004403536,2.0,13796.0,0.7370446007,reservoir,20000,20000,reservoir,1700.0,386.0,872.0,2842.0,4073.000000000022,4900.0,6610.159999999974,0
350,900462,0.000900462,2533.3657900055,1857.0276297527,3448551.6176649174,1.9569767697,0.0007724809,2.0,13000.0,0.7330278308,reservoir,20000,20000,reservoir,2152.0,484.0,1096.0,3604.0,5114.0,6154.799999999988,8242.0,0
400,286576,0.000286576,3072.6425381051,2240.5722509818,5020164.0118697565,4.1854199952,0.0013621565,2.0,17306.0,0.7292004271,reservoir,20000,20000,reservoir,2612.0,592.0,1360.0,4292.0,6130.0,7376.0,10114.0,0
500,28644,2.8644e-05,4246.959642508,3063.2226442721,9383332.968381343,18.0992980261,0.0042617071,2.0,21640.0,0.7212742531,reservoir,20000,20000,reservoir,3688.0,820.0,1908.0,5994.0,8450.0,10162.0,13652.199999999968,0
600,2771,2.771e-06,5493.6672681342,3823.1901590816,14616782.992498675,72.6285939847,0.013220421,2.0,23720.0,0.6959267776,reservoir,20000,2771,reservoir,4786.0,1154.0,2516.0,7693.0,10804.0,12599.0,16982.600000000013,0
700,255,2.55e-07,7118.4392156863,4888.0860459035,23893385.192156862,306.1038218859,0.0430015362,116.0,30340.0,0.6866794669,reservoir,20000,255,reservoir,5792.0,1889.2000000000003,3445.0,10011.0,14188.799999999997,15841.199999999997,20410.480000000003,0
800,28,2.8e-08,7738.2857142857,5707.2400208932,32572588.656084657,1078.566983417,0.13938061,164.0,21402.0,0.7375328634,reservoir,20000,28,reservoir,8118.0,986.2,2690.0,10854.5,16218.2,16841.5,20241.54,0
900,3,3e-09,11416.6666666667,2537.6716362314,6439777.333333335,1465.1254022931,0.128332152,9490.0,14292.0,0.2222778076,reservoir,20000,3,reservoir,10468.0,9685.6,9979.0,12380.0,13527.2,13909.6,14215.52,0
1000,0,0.0,0.0,,,,,inf,-inf,,reservoir,20000,0,none,,,,,,,,0
1100,0,0.0,0.0,,,,,inf,-inf,,reservoir,20000,0,none,,,,,,,,0
1200,0,0.0,0.0,,,,,inf,-inf,,reservoir,20000,0,none,,,,,,,,0
1300,0,0.0,0.0,,,,,inf,-inf,,reservoir,20000,0,none,,,,,,,,0
1400,0,0.0,0.0,,,,,inf,-inf,,reservoir,20000,0,none,,,,,,,,0
1500,0,0.0,0.0,,,,,inf,-inf,,reservoir,20000,0,none,,,,,,,,0
